A. Dodin
R. Darricau
O. Le Borgne
Denise Cogny
Claude Petitfrere
Jean-Pierre Goubert
Philippe Bouquet
Hubert Neant
Peyronnet Georges
Bernard Edeine
J.-P. Leguay
Jean-Francois Labourdette
Marcel Launay
Renaud Richard
Yves Durand
Jacques Leonard
Claude Lebrun
C. Gaudin
Jean-Marie Allaire
Jean Tricard
Farid Abbad
Auguste Toussaint
R. Dupuy
Michel Lagree
Claude Julien
Denise Moirez
Jean Tanguy
Jean Berenger
Yves Le Gallo
Jean Kerherve
Roger Barrie
Patrick Garnier
Jean-Louis Menard
Xavier Ferrieu
Claude Chereau
Jean-Francois Noel
Simondon (Mme)
G. Miroux
Paul-M. Martin
R. Chevallier
Yves-Marie Duval
Gilles Dorival
Christiane Deluz
Monique Gramain
Claude Schaeffer
A. Stegmann
Jean-Claude Margolin
J.-F. Marquet
Claude Bruaire
Francis Kaplan
G. Minois
Francois Laplanche
Jean-Pierre Bois
Maurice Leo
Louis Trenard
Marc Regaldo
Henri Duranton
Lloyd R. Free
Paulette Charbonnel
Charles Berthelot du Chesnay
Andre Rayez
Jean-Robert Armogathe
Georges Pons
Paul Benhamou
Remy Landy
J. Pappas
Jean Deprun
Roland Mortier
R. Mercier
N. Wagner
Charles Porset
Colette Levin
Marcel Verani
Y. Moraud
Pierre Naudin
Michel Delon
R. Godenne
Jean Roussel
R. Rancoeur
Andre Coulouarn
M.-J. Ramin
H. Guillotel
C. Bertho
Yvonne Le brun
Pierre Lemonnier
P. Audin
A.-P. Segalen
Micheline Huvet-Martinet
Robert Gildea
J.-L. Debauve
Jean Boudriot
G. von Proschwitz
Pierrette Girault de Coursac
Jack Kolbert
Henri Grange
Yvon Seren
Gerard G. Aymonin
Edna Hindie Lemay
Jean Gillet
J. Biarne
Philippe Bechu
Annie Bardel
Ann Dornier
Rene Plessix
M.-Th. Notter
Charles Frostin
Christine Levisse-Touze
Fernand Letessier
J. Bernard
Alain Derville
A.-D. Kapferer
Alain Sadourny
Claudine Billot
P. Racine
Michel Balard
M. Rossiaud
J.-C. Garcin
W. Vodoff
Solange Roussier
Jean-Andre Tournerie
Maurice Quenet
Joseph Avril
Moise Tripier
Yvonne Le Brun
Michel Cardot
Pascal Aumasson
